name,dob,amt1,amt2
"Patrick Stevens","1992-07-10",48329,53
"Breanna Sparks","1915-01-29",77689,3117
"Ronald Sanchez","2001-02-10",6751,5455
"Andrew Miller","1992-10-18",91396,4859
"Randy Spears","1935-04-22",90417,3837
"Pamela Valencia","1911-02-08",80572,6596
"Jennifer Todd","1940-10-10",14319,7568
"Scott Sims","1962-04-28",63544,3137
"Amy Carrillo MD","1980-12-07",13839,8082
"Rick Moore","1978-12-17",49517,9620
"Maria Wood","1933-11-19",50776,8060
"David Hinton","1983-11-02",85628,8241
"Joshua Thompson","1919-02-15",59875,9077
"Kristy Davies","1935-10-04",51732,1856
"Brandon Jackson","1908-12-26",53000,4673
"Shawn Jennings","1993-04-18",43361,6079
"Taylor Monroe","1909-04-20",71267,8331
"Patricia Moreno","1955-01-05",85798,4472
"Kenneth Morris","1956-07-31",59833,5048
"Jenna Perez","1906-09-25",12550,2551
"Scott Wright","1937-06-10",40945,3577
"Kathy Stewart","1954-07-06",37581,7268
"Misty Powell","1963-09-22",40968,6433
"Donald Valentine","2006-08-19",5841,2212
"Jon Gonzalez","1915-10-22",64872,1806
"Erin Castro","1972-06-23",5529,7437
"John Martinez","1929-09-01",15590,8286
"Amanda Noble","1959-10-28",59919,1999
"Melissa Lewis","1991-08-01",48523,6400
"Leah Nelson","2002-05-27",80560,7136
"Rebecca Smith","1930-03-31",6297,9548
"Jamie Moyer","1982-02-05",51875,8997
"Tara Wilson","1923-12-14",80584,7701
"Barbara Montgomery","1996-08-10",99355,8177
"Carol Smith","1911-11-07",80057,5658
"Jennifer Allen DDS","1929-04-24",72756,5215
"Ashley Allen","1917-12-03",96436,1100
"Miss Amanda Garrett","1997-08-01",19681,5273
"Donald Richardson","1933-12-01",3732,5858
"Mr. Bradley Calderon","1999-12-29",72217,8787
"Julia Rodriguez","1909-12-23",41716,6268
"Paul Cook","2016-06-27",31772,9757
"Alvin Campbell","1967-06-21",83672,8556
"Kristin Brooks","1974-05-14",42493,9596
"Kimberly Moore","2018-08-18",3766,7448
"William Johnson","1996-09-22",22795,3169
"Michael Lewis","1921-11-26",63943,7772
"Daniel Haynes","2010-12-09",28022,2294
"Brian Rogers","1937-11-09",40280,4850
"Raymond Obrien","1923-06-14",93854,2763
"Jason Ferguson","1913-12-21",45355,6783
"Cory Pope","2008-02-06",23749,5782
"Robert Harper","1937-07-28",73831,6089
"Alexis Bennett DDS","2014-01-25",67022,4895
"Steven Pittman","2015-06-07",60984,2550
"Cory Brown","1931-05-21",98579,6396
"Angela Nolan","1972-12-26",78285,544
"Martha Morrison","1938-06-27",97607,7359
"Jacob Gamble","1969-02-28",22773,4738
"Michael Smith","1981-01-20",97608,4917
"Steven Knight","2007-02-12",35010,2322
"Tracy Hudson","1935-06-27",64272,2883
"Matthew Preston","1928-07-10",71463,8687
"Richard Black","1964-11-10",73086,7428
"Elizabeth Holt","1962-10-24",890,5838
"Kevin Le","1956-12-09",76033,9035
"Karen Blackwell","1966-09-19",34047,7205
"Christopher Ramos","1923-01-25",60289,4957
"Ashley Molina","1995-08-10",12567,2858
"Deborah Leblanc","1993-09-06",22763,8390
"William Hall","1912-06-16",86407,3421
"Shelly Ball","1937-08-14",43642,9250
"April Clark MD","1946-02-18",69430,5659
"Melinda Wilson","2009-06-18",53843,7113
"Sheila Harris","2002-09-26",46683,5957
"Veronica Cook","2014-04-09",47371,6085
"Ralph Rhodes","1926-04-26",90374,5673
"Luke Jackson","2016-03-25",25371,7553
"James Gonzalez","1967-12-16",59029,2719
"Tara Knox","1936-03-02",63269,3533
"Renee Lambert","1991-03-05",10987,8801
"Breanna Vega","2016-06-26",87166,4783
"Kathryn Garcia","1991-10-26",35682,5219
"Brandon Tucker","1982-10-03",5525,8060
"Cynthia Kramer","1910-02-06",74807,2750
"Gregg Miller MD","1928-11-21",35509,6892
"Evelyn Holmes","1944-02-29",67145,9947
"Richard Scott","2008-10-26",79274,9742
"Amanda Taylor","1919-07-13",75536,409
"John Gutierrez PhD","1975-01-25",95283,2424
"Jonathan Watkins","1974-01-21",74871,4188
"Christopher Burgess","1977-02-23",88678,7646
"Amanda Gibson","1981-10-09",44432,8216
"Douglas Butler","1983-09-22",46297,8769
"Angela Wright","2012-03-07",51335,1878
"Kenneth Graham","1947-07-03",63262,3505
"Victor Deleon","2008-07-16",19028,6076
"Micheal Black","1955-11-13",14479,7320
"Brandy Lewis","2017-07-21",39722,8174
"Beth Tanner","1926-07-28",24206,7175
"Michael Wilkinson","1919-10-26",24043,1101
"Hannah Love","1911-11-30",47022,3167
"Fernando Mosley","1967-11-07",89323,5649
"Lori Moss","1975-03-03",3837,3568
"Eric Harris","1952-04-26",7387,1653
"Jonathan Green","1929-11-10",19378,8654
"Dr. Ariel Lambert MD","1954-07-24",98065,6362
"Phillip Christensen","1978-05-04",11836,5869
"Jacob Roy","1929-03-06",39845,5215
"Jeffrey Morales","1997-08-20",59249,3220
"Larry Fernandez","1995-04-07",30163,1362
"Brent Burton","2016-03-25",50838,258
"James Richardson","1907-01-09",93149,30
"Shawn Gordon","1946-10-15",27842,2561
"Julie Wright","1935-06-01",28391,598
"Cynthia Avila","1923-04-12",77164,856
"Shane Mcintosh","1987-01-27",68399,5727
"Thomas Singleton","1967-10-09",92458,2058
"Matthew Davis","1988-11-10",57464,1135
"Timothy Hardin","1954-07-22",3499,901
"Pamela George","1919-10-24",68569,8367
"Cynthia Greer","1934-02-16",30034,2828
"Miranda Garza","1965-02-03",90716,544
"Erica Garcia","1968-08-30",30276,9043
"Julie Edwards","2009-01-07",99238,8273
"David Woods","1975-03-14",68636,1214
"Robert Harris","1909-10-08",37149,4246
"Susan Wright","1991-02-25",7284,3504
"Caroline Carlson","1982-04-17",72388,5692
"Maria Walker","1947-03-16",51808,6728
"Leslie Mullins","1940-09-11",57496,8079
"Nicholas Salazar","1921-10-25",32242,6261
